"","responseBlockTime","trialEarnings","condition","id","blockIdx"
"1",5.58333333332826,0,"rich","201",1
"2",13.3499999999879,1,"rich","201",1
"3",36.2166666666337,3,"rich","201",1
"4",45.8333333332916,1,"rich","201",1
"5",55.3666666666163,3,"rich","201",1
"6",64.9999999999409,1,"rich","201",1
"7",74.749999999932,0,"rich","201",1
"8",82.2333333332585,3,"rich","201",1
"9",91.9166666665831,1,"rich","201",1
"10",101.699999999908,0,"rich","201",1
"11",109.283333333234,0,"rich","201",1
"12",116.983333333227,3,"rich","201",1
"13",126.683333333218,3,"rich","201",1
"14",136.616666666542,0,"rich","201",1
"15",143.983333333202,3,"rich","201",1
"16",153.783333333193,0,"rich","201",1
"17",161.483333333186,0,"rich","201",1
"18",169.13333333318,1,"rich","201",1
"19",178.649999999838,1,"rich","201",1
"20",188.399999999829,0,"rich","201",1
"21",196.099999999822,1,"rich","201",1
"22",205.583333333146,3,"rich","201",1
"23",215.216666666471,3,"rich","201",1
"24",225.016666666462,0,"rich","201",1
"25",232.899999999788,0,"rich","201",1
"26",240.216666666448,1,"rich","201",1
"27",250.016666666439,3,"rich","201",1
"28",259.749999999764,0,"rich","201",1
"29",267.349999999757,0,"rich","201",1
"30",274.883333333083,3,"rich","201",1
"31",284.616666666408,3,"rich","201",1
"32",294.283333333066,1,"rich","201",1
"33",303.883333333057,3,"rich","201",1
"34",313.533333333048,0,"rich","201",1
"35",321.283333333041,0,"rich","201",1
"36",328.966666666367,0,"rich","201",1
"37",336.86666666636,0,"rich","201",1
"38",344.28333333302,3,"rich","201",1
"39",354.099999999678,0,"rich","201",1
"40",361.583333333004,1,"rich","201",1
"41",371.799999999662,3,"rich","201",1
"42",380.933333332987,1,"rich","201",1
"43",390.566666666311,3,"rich","201",1
"44",400.616666666302,0,"rich","201",1
"45",407.933333332962,0,"rich","201",1
"46",415.666666666289,1,"rich","201",1
"47",425.41666666628,0,"rich","201",1
"48",432.966666666273,1,"rich","201",1
"49",442.633333332931,3,"rich","201",1
"50",452.249999999589,0,"rich","201",1
"51",459.849999999582,3,"rich","201",1
"52",469.599999999573,3,"rich","201",1
"53",479.099999999564,1,"rich","201",1
"54",488.999999999555,0,"rich","201",1
"55",496.666666666215,1,"rich","201",1
"56",506.383333332873,0,"rich","201",1
"57",513.949999999533,0,"rich","201",1
"58",521.449999999526,3,"rich","201",1
"59",531.216666666184,1,"rich","201",1
"60",540.683333332842,3,"rich","201",1
"61",550.833333332832,3,"rich","201",1
"62",560.24999999949,0,"rich","201",1
"63",567.833333332817,0,"rich","201",1
"64",575.566666666143,0,"rich","201",1
"65",583.116666666136,3,"rich","201",1
"66",592.883333332794,0,"rich","201",1
"67",600.583333332787,0,"rich","201",1
"68",608.166666666114,1,"rich","201",1
"69",617.833333332771,3,"rich","201",1
"70",627.449999999429,3,"rich","201",1
"71",637.233333332754,0,"rich","201",1
"72",644.833333332747,0,"rich","201",1
"73",652.43333333274,3,"rich","201",1
"74",662.233333332731,1,"rich","201",1
"75",671.949999999389,0,"rich","201",1
"76",679.483333332715,3,"rich","201",1
"77",688.999999999373,3,"rich","201",1
"78",698.749999999364,1,"rich","201",1
"79",708.366666666022,3,"rich","201",1
"80",717.999999999347,0,"rich","201",1
"81",727.316666666005,0,"rich","201",1
"82",733.549999999333,3,"rich","201",1
"83",743.299999999324,0,"rich","201",1
"84",750.93333333265,1,"rich","201",1
"85",760.483333332642,1,"rich","201",1
"86",770.1499999993,0,"rich","201",1
"87",777.716666665959,3,"rich","201",1
"88",787.433333332617,0,"rich","201",1
"89",795.049999999277,0,"rich","201",1
"90",803.083333332603,3,"rich","201",1
