blockIdx	trialIdx	scheduledHt	scheduledRwd	spentHt	responseBlockTime	trialEarnings	responseRT	blockTime
1	1	2	3	2	9.433333333	3	9.433333333	13
1	2	2	3	2	22.06666667	3	9.066666667	26
1	3	40	1	0	35.06666667	0	9.066666667	37
1	4	2	3	2	46.05	3	9.05	50
1	5	22	1	0	59.23333333	0	9.233333333	61
1	6	28	1	0	70.11666667	0	9.116666667	72
1	7	2	3	2	80.98333333	3	8.983333333	85
1	8	40	3	0	94.21666667	0	9.216666667	96
1	9	22	3	0	105.1	0	9.1	107
1	10	2	1	2	116.2666667	1	9.266666667	120
1	11	2	1	2	129.1	1	9.1	133
1	12	28	1	0	142.2166667	0	9.216666667	144
1	13	2	1	2	153.15	1	9.15	157
1	14	2	3	2	166.2	3	9.2	170
1	15	2	1	2	179.1833333	1	9.183333333	183
1	16	2	1	2	192.2166667	1	9.216666667	196
1	17	2	3	2	205.0833333	3	9.083333333	209
1	18	22	3	0	218	0	9	220
1	19	2	3	2	228.9833333	3	8.983333333	233
1	20	28	3	0	242.2166667	0	9.216666667	244
1	21	40	3	0	253.0166667	0	9.016666667	255
1	22	2	1	2	264.0833333	1	9.083333333	268
1	23	2	3	2	277.05	3	9.05	281
1	24	2	1	2	290.1	1	9.1	294
1	25	28	1	0	303.2666667	0	9.266666667	305
1	26	2	1	2	313.9166667	1	8.916666667	318
1	27	22	3	0	327.4333333	0	9.433333333	329
1	28	40	1	0	338.3166667	0	9.316666667	340
1	29	22	3	0	349.05	0	9.05	351
1	30	40	1	0	360.0166667	0	9.016666667	362
1	31	2	1	2	371.3333333	1	9.333333333	375
1	32	2	3	2	383.7833333	3	8.783333333	388
1	33	28	1	0	397.1666667	0	9.166666667	399
1	34	2	1	2	408.25	1	9.25	412
1	35	2	3	2	421.25	3	9.25	425
1	36	2	3	2	434.2666667	3	9.266666667	438
1	37	2	3	2	447.3	3	9.3	451
1	38	2	3	2	460.1	3	9.1	464
1	39	40	1	0	473.2333333	0	9.233333333	475
1	40	22	1	0	484.25	0	9.25	486
1	41	2	1	2	495.0666667	1	9.066666667	499
1	42	28	3	0	508.5166667	0	9.516666667	510
1	43	40	1	0	519.45	0	9.45	521
1	44	22	3	0	530.4	0	9.4	532
1	45	2	1	2	541.25	1	9.25	545
1	46	28	1	0	554.1	0	9.1	556
1	47	2	3	2	565.3	3	9.3	569
1	48	2	3	2	578.1	3	9.1	582
1	49	2	1	2	591	1	9	595
1	50	2	3	2	604.1166667	3	9.116666667	608
1	51	22	3	0	617.4833333	0	9.483333333	619
1	52	40	3	0	628.3666667	0	9.366666667	630
1	53	2	1	2	639.2333333	1	9.233333333	643
1	54	2	1	2	652.25	1	9.25	656
1	55	2	1	2	665.2166667	1	9.216666667	669
1	56	28	3	0	677.9	0	8.9	680
1	57	2	3	2	689.1833333	3	9.183333333	693
1	58	40	3	0	702.1333333	0	9.133333333	704
1	59	28	1	0	713.1833333	0	9.183333333	715
1	60	2	3	2	724.2333333	3	9.233333333	728
1	61	2	1	2	737.4	1	9.4	741
1	62	2	1	2	750.5166667	1	9.516666667	754
1	63	22	3	0	763.8833333	0	9.883333333	765
1	64	2	1	2	774.2833333	1	9.283333333	778
1	65	2	3	2	787.3333333	3	9.333333333	791
1	66	2	1	2	800.1833333	1	9.183333333	804
1	67	28	3	0	813.0666667	0	9.066666667	815
1	68	40	1	0	824.5	0	9.5	826
1	69	22	1	0	835.2666667	0	9.266666667	837
1	70	2	3	2	846.3666667	3	9.366666667	850
1	71	2	3	2	859.3	3	9.3	863
1	72	2	3	2	872.1333333	3	9.133333333	876
1	73	28	1	0	885.1333333	0	9.133333333	887
1	74	40	3	0	896.25	0	9.25	898
1	75	2	1	2	907.0666667	1	9.066666667	911
1	76	2	1	2	920.2666667	1	9.266666667	924
