blockIdx,trialIdx,scheduledHt,scheduledRwd,spentHt,responseBlockTime,trialEarnings,responseRT,blockTime,
1,1,2,3,2,8.94999999999186,3,0.95,12.999999999988177,
1,2,2,1,2,21.499999999980446,1,0.5,25.999999999976353,
1,3,2,3,2,34.49999999996862,3,0.5,38.99999999996453,
1,4,28,1,0,47.76666666662322,0,0.7666666666666666,49.999999999954525,
1,5,22,3,0,58.849999999946476,0,0.85,60.99999999994452,
1,6,40,1,0,69.63333333327,0,0.6333333333333333,71.99999999993452,
1,7,2,1,2,80.54999999992674,1,0.55,84.9999999999227,
1,8,2,3,2,93.39999999991505,3,0.4,97.99999999991087,
1,9,22,3,0,106.94999999990273,0,0.95,108.99999999990087,
1,10,28,3,0,117.88333333322612,0,0.8833333333333333,119.99999999989086,
1,11,2,3,2,128.7166666665496,3,0.7166666666666667,132.99999999987904,
1,12,40,1,0,141.9499999998709,0,0.95,143.99999999986903,
1,13,2,1,2,152.83333333319433,1,0.8333333333333334,156.9999999998572,
1,14,2,1,2,165.7666666665159,1,0.7666666666666666,169.9999999998454,
1,15,40,1,0,179.08333333317046,0,1.0833333333333333,180.99999999983538,
1,16,2,1,2,189.71666666649412,1,0.7166666666666667,193.99999999982356,
1,17,2,3,2,202.79999999981555,3,0.8,206.99999999981173,
1,18,2,1,2,215.81666666647038,1,0.8166666666666667,219.9999999997999,
1,19,28,3,0,229.01666666645838,0,1.0166666666666666,230.9999999997899,
1,20,2,1,2,239.6666666664487,1,0.6666666666666666,243.99999999977808,
1,21,22,3,0,253.46666666643614,0,1.4666666666666666,254.99999999976808,
1,22,28,3,0,263.88333333309333,0,0.8833333333333333,265.9999999997581,
1,23,22,3,22,274.5833333330836,3,0.5833333333333334,298.99999999972806,
1,24,2,3,2,307.7499999997201,3,0.75,311.99999999971624,
1,25,40,1,0,321.0166666663747,0,1.0166666666666666,322.99999999970623,
1,26,2,1,2,331.7666666663649,1,0.7666666666666666,335.9999999996944,
1,27,2,1,2,344.9333333330196,1,0.9333333333333333,348.9999999996826,
1,28,2,3,2,357.7666666663413,3,0.7666666666666666,361.99999999967076,
1,29,2,1,2,370.73333333299615,1,0.7333333333333333,374.99999999965894,
1,30,2,3,2,383.73333333298433,3,0.7333333333333333,387.9999999996471,
1,31,28,3,0,396.9833333329723,0,0.9833333333333333,398.9999999996371,
1,32,2,3,2,408.06666666629553,3,1.0666666666666667,411.9999999996253,
1,33,22,1,0,420.88333333295054,0,0.8833333333333333,422.9999999996153,
1,34,2,3,2,431.4166666662743,3,0.4166666666666667,435.99999999960346,
1,35,40,1,0,445.0999999995952,0,1.1,446.99999999959346,
1,36,28,3,0,455.93333333291866,0,0.9333333333333333,457.99999999958345,
1,37,2,1,2,466.41666666624246,1,0.4166666666666667,470.9999999995716,
1,38,22,3,22,479.89999999956353,3,0.9,503.9999999995416,
1,39,2,1,2,512.4333333328673,1,0.43333333333333335,516.9999999995298,
1,40,2,3,2,525.4666666661888,3,0.4666666666666667,529.999999999518,
1,41,40,1,0,538.9999999995098,0,1.0,540.999999999508,
1,42,2,1,2,549.8666666661666,1,0.8666666666666667,553.9999999994961,
1,43,40,1,0,562.9666666661547,0,0.9666666666666667,564.9999999994861,
1,44,28,1,0,573.8666666661447,0,0.8666666666666667,575.9999999994761,
1,45,2,3,2,584.9166666661347,3,0.9166666666666666,588.9999999994643,
1,46,2,3,2,597.43333333279,3,0.43333333333333335,601.9999999994525,
1,47,2,3,2,610.7499999994445,3,0.75,614.9999999994407,
1,48,22,3,0,624.1833333327656,0,1.1833333333333333,625.9999999994307,
1,49,2,1,2,634.3333333327564,1,0.3333333333333333,638.9999999994188,
1,50,2,1,2,647.3499999994112,1,0.35,651.999999999407,
1,51,40,3,0,660.9999999993988,0,1.0,662.999999999397,
1,52,2,1,2,671.8999999993889,1,0.9,675.9999999993852,
1,53,2,1,2,684.8333333327105,1,0.8333333333333334,688.9999999993734,
1,54,28,3,0,698.0166666660318,0,1.0166666666666666,699.9999999993634,
1,55,22,1,22,709.7999999993544,1,1.8,732.9999999993333,
1,56,2,3,2,741.9333333326585,3,0.9333333333333333,745.9999999993215,
1,57,2,3,2,754.9333333326467,3,0.9333333333333333,758.9999999993097,
1,58,28,3,0,768.0166666659682,0,1.0166666666666666,769.9999999992997,
1,59,22,1,0,780.4166666659569,0,2.4166666666666665,780.9999999992897,
1,60,40,3,0,789.9333333326149,0,0.9333333333333333,791.9999999992797,
1,61,2,1,2,800.449999999272,1,0.45,804.9999999992679,
1,62,2,3,2,813.3833333325936,3,0.3833333333333333,817.999999999256,
