blockIdx,trialIdx,scheduledHt,scheduledRwd,spentHt,responseBlockTime,trialEarnings,responseRT,blockTime,
1,1,2,3,2,8.61666666665883,3,0.6166666666666667,12.999999999988177,
1,2,2,1,2,21.466666666647143,1,0.4666666666666667,25.999999999976353,
1,3,2,1,2,34.49999999996862,1,0.5,38.99999999996453,
1,4,40,1,0,48.133333333289556,0,1.1333333333333333,49.999999999954525,
1,5,22,3,22,58.54999999994675,3,0.55,82.99999999992451,
1,6,28,3,0,91.84999999991646,0,0.85,93.99999999991451,
1,7,2,1,2,102.58333333324003,1,0.5833333333333334,106.99999999990268,
1,8,28,1,0,115.93333333322789,0,0.9333333333333333,117.99999999989268,
1,9,2,3,2,126.5499999998849,3,0.55,130.99999999988086,
1,10,40,1,0,139.6833333332063,0,0.6833333333333333,141.99999999987085,
1,11,2,1,2,150.41666666652986,1,0.4166666666666667,154.99999999985903,
1,12,2,3,2,163.4999999998513,3,0.5,167.9999999998472,
1,13,2,3,2,176.36666666650626,3,0.36666666666666664,180.99999999983538,
1,14,22,3,22,189.66666666649417,3,0.6666666666666666,213.99999999980537,
1,15,28,3,0,222.98333333313053,0,0.9833333333333333,224.99999999979536,
1,16,2,1,2,233.41666666645438,1,0.4166666666666667,237.99999999978354,
1,17,2,1,2,246.34999999977595,1,0.35,250.99999999977172,
1,18,2,3,2,260.98333333309597,3,1.9833333333333334,263.9999999997599,
1,19,22,1,22,272.7333333330853,1,0.7333333333333333,296.9999999997299,
1,20,40,3,0,305.7166666663886,0,0.7166666666666667,307.9999999997199,
1,21,2,3,2,316.4833333330455,3,0.48333333333333334,320.99999999970805,
1,22,2,3,2,329.48333333303367,3,0.48333333333333334,333.99999999969623,
1,23,28,1,0,343.4666666663543,0,1.4666666666666666,344.9999999996862,
1,24,2,3,2,355.0499999996771,3,2.05,357.9999999996744,
1,25,2,3,2,366.8333333329997,3,0.8333333333333334,370.9999999996626,
1,26,2,1,2,379.4833333329882,1,0.48333333333333334,383.99999999965075,
1,27,22,1,22,392.5166666663097,1,0.5166666666666666,416.99999999962074,
1,28,40,1,0,425.7833333329461,0,0.7833333333333333,427.99999999961074,
1,29,22,3,22,436.9166666662693,3,0.9166666666666666,460.9999999995807,
1,30,2,1,2,469.7999999995727,1,0.8,473.9999999995689,
1,31,40,3,0,482.9333333328941,0,0.9333333333333333,484.9999999995589,
1,32,2,1,2,493.36666666621795,1,0.36666666666666664,497.9999999995471,
1,33,28,1,0,507.08333333287214,0,1.0833333333333333,508.99999999953707,
1,34,2,1,2,517.4333333328627,1,0.43333333333333335,521.9999999995252,
1,35,2,3,2,530.5499999995175,3,0.55,534.9999999995134,
1,36,2,3,2,543.4166666661724,3,0.4166666666666667,547.9999999995016,
1,37,2,1,2,556.4166666661606,1,0.4166666666666667,560.9999999994898,
1,38,2,1,2,569.5166666661487,1,0.5166666666666666,573.999999999478,
1,39,40,3,0,582.3833333328037,0,0.3833333333333333,584.999999999468,
1,40,22,3,22,593.7666666661266,3,0.7666666666666666,617.9999999994379,
1,41,28,1,0,627.133333332763,0,1.1333333333333333,628.9999999994279,
1,42,2,3,2,637.8833333327532,3,0.8833333333333333,641.9999999994161,
1,43,2,1,2,650.7166666660748,1,0.7166666666666667,654.9999999994043,
1,44,40,3,0,663.9166666660628,0,0.9166666666666666,665.9999999993943,
1,45,28,1,0,675.3166666660525,0,1.3166666666666667,676.9999999993843,
1,46,2,3,2,685.5166666660432,3,0.5166666666666666,689.9999999993724,
1,47,2,1,2,698.3666666660315,1,0.36666666666666664,702.9999999993606,
1,48,22,1,22,712.1999999993523,1,1.2,735.9999999993306,
1,49,2,3,2,744.5666666659895,3,0.5666666666666667,748.9999999993188,
1,50,22,1,0,758.0166666659773,0,1.0166666666666666,759.9999999993088,
1,51,2,1,2,768.8166666659674,1,0.8166666666666667,772.999999999297,
1,52,28,3,0,782.0999999992887,0,1.1,783.999999999287,
1,53,2,3,2,792.5499999992792,3,0.55,796.9999999992751,
1,54,2,3,2,805.5833333326007,3,0.5833333333333334,809.9999999992633,
1,55,40,1,0,818.7333333325887,0,0.7333333333333333,820.9999999992533,
1,56,2,3,2,829.5499999992455,3,0.55,833.9999999992415,
1,57,2,3,2,842.3666666659005,3,0.36666666666666664,846.9999999992297,
1,58,2,3,2,855.4666666658886,3,0.4666666666666667,859.9999999992178,
1,59,40,3,0,868.6666666658766,0,0.6666666666666666,870.9999999992078,
1,60,22,1,0,879.983333332533,0,0.9833333333333333,881.9999999991978,
1,61,28,1,0,890.54999999919,0,0.55,892.9999999991878,
1,62,2,3,2,901.4666666658468,3,0.4666666666666667,905.999999999176,
1,63,2,1,2,914.4833333325016,1,0.48333333333333334,918.9999999991642,
1,64,28,1,0,927.6833333324896,0,0.6833333333333333,929.9999999991542,
1,65,40,3,0,938.5999999991463,0,0.6,940.9999999991442,
1,66,2,1,2,949.3833333324791,1,0.3833333333333333,953.9999999991494,
1,67,2,3,2,962.3666666658228,3,0.36666666666666664,966.9999999991597,
1,68,22,1,0,975.9333333325002,0,0.9333333333333333,977.9999999991685,
1,69,2,1,2,986.3999999991752,1,0.4,990.9999999991788,
1,70,2,3,2,999.6666666658524,3,0.6666666666666666,1003.9999999991892,
1,71,22,3,0,1012.6333333325294,0,0.6333333333333333,1014.9999999991979,
1,72,2,3,2,1023.3666666658712,3,0.36666666666666664,1027.9999999992083,
1,73,28,1,0,1036.4666666658818,0,0.4666666666666667,1038.999999999217,
1,74,2,1,2,1047.8333333325575,1,0.8333333333333334,1051.9999999992274,
1,75,2,1,2,1060.3666666659008,1,0.36666666666666664,1064.9999999992378,
1,76,2,3,2,1073.31666666591,3,0.31666666666666665,1077.9999999992428,
1,77,40,1,0,1086.9499999992424,0,0.95,1088.9999999992424,
1,78,2,1,2,1097.3499999992418,1,0.35,1101.9999999992415,
1,79,28,3,0,1111.0833333325745,0,1.0833333333333333,1112.999999999241,
1,80,2,3,2,1121.3833333325738,3,0.3833333333333333,1125.9999999992401,
1,81,40,3,0,1134.933333332573,0,0.9333333333333333,1136.9999999992397,
1,82,22,1,0,1146.1166666659058,0,1.1166666666666667,1147.999999999239,
1,83,2,3,2,1156.4499999992386,3,0.45,1160.9999999992383,
1,84,2,1,2,1169.383333332571,1,0.3833333333333333,1173.9999999992374,
1,85,28,3,0,1182.7666666659036,0,0.7666666666666666,1184.999999999237,
1,86,2,3,2,1193.3499999992373,3,0.35,1197.9999999992374,
2,1,22,3,0,9.49999999999136,0,1.5,10.999999999989996,
2,2,28,3,0,19.599999999982174,0,0.6,21.99999999997999,
2,3,40,1,0,31.24999999997158,0,1.25,32.99999999996999,
2,4,28,3,0,41.94999999996185,0,0.95,43.99999999995998,
2,5,2,1,2,52.416666666618994,1,0.4166666666666667,56.99999999994816,
2,6,28,1,0,65.86666666660676,0,0.8666666666666667,67.99999999993815,
2,7,28,1,28,77.09999999992988,1,1.1,106.99999999990268,
2,8,28,3,0,115.58333333322821,0,0.5833333333333334,117.99999999989268,
2,9,28,1,0,126.64999999988481,0,0.65,128.99999999988268,
2,10,40,3,0,137.66666666654146,0,0.6666666666666666,139.99999999987267,
2,11,22,3,22,148.86666666653127,3,0.8666666666666667,172.99999999984266,
2,12,28,1,0,181.89999999983456,0,0.9,183.99999999983265,
2,13,2,1,2,192.56666666649153,1,0.5666666666666667,196.99999999982083,
2,14,28,3,0,205.89999999981274,0,0.9,207.99999999981083,
2,15,40,3,0,216.96666666646934,0,0.9666666666666667,218.99999999980082,
2,16,28,1,0,227.91666666645938,0,0.9166666666666666,229.99999999979082,
2,17,28,1,0,239.2833333331157,0,1.2833333333333332,240.9999999997808,
