blockIdx,trialIdx,scheduledHt,scheduledRwd,spentHt,responseBlockTime,trialEarnings,responseRT,blockTime
2,30,40,3,0,435.4333333,0,0.433333333,438
2,31,28,3,0,446.5166667,0,0.516666667,449
2,32,2,3,2,457.7333333,3,0.733333333,462
2,33,22,1,0,471.1166667,0,1.116666667,473
2,34,28,3,0,481.55,0,0.55,484
2,35,28,3,0,492.6,0,0.6,495
2,36,28,1,0,504.05,0,1.05,506
2,37,2,3,2,514.4,3,0.4,519
2,38,28,1,0,527.5166667,0,0.516666667,530
2,39,22,3,0,538.85,0,0.85,541
2,40,28,1,0,550,0,1,552
2,41,28,1,0,560.5666667,0,0.566666667,563
2,42,40,1,0,571.55,0,0.55,574
2,43,40,3,0,582.5166667,0,0.516666667,585
2,44,28,3,0,593.8333333,0,0.833333333,596
2,45,28,3,0,604.9333333,0,0.933333333,607
2,46,28,3,0,615.5833333,0,0.583333333,618
2,47,22,3,22,627.0166667,3,1.016666667,651
2,48,28,3,0,659.8,0,0.8,662
2,49,2,1,2,671.1166667,1,1.116666667,675
2,50,28,1,0,684.3,0,1.3,686
2,51,22,1,22,695.0166667,1,1.016666667,719
2,52,28,1,0,728.6666667,0,1.666666667,730
2,53,2,1,2,738.7833333,1,0.783333333,743
2,54,28,3,0,752.5833333,0,1.583333333,754
2,55,40,1,0,762.7833333,0,0.783333333,765
2,56,28,1,28,774.6666667,1,1.666666667,804
2,57,28,1,0,813.6833333,0,1.683333333,815
2,58,2,3,2,823.4166667,3,0.416666667,828
2,59,28,1,0,837,0,1,839
2,60,40,3,0,847.5666667,0,0.566666667,850
2,61,22,1,22,858.9833333,1,0.983333333,883
2,62,28,3,0,891.7,0,0.7,894
2,63,28,3,0,902.7333333,0,0.733333333,905
2,64,28,1,0,913.5666667,0,0.566666667,916
2,65,22,3,0,925.0166667,0,1.016666667,927
2,66,28,1,0,935.6666667,0,0.666666667,938
2,67,28,1,0,946.5833333,0,0.583333333,949
2,68,2,3,2,957.4833333,3,0.483333333,962
2,69,28,1,0,970.3833333,0,0.383333333,973
2,70,40,3,0,981.5333333,0,0.533333333,984
